,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
65,Jr,Ron Harper Jr.,76.7,3.5,16.8,9.9,2.3,1.2,26.3,0.543,0.31
66,Fr,Scottie Barnes,58.9,7.4,11.0,31.6,2.1,3.4,33.8,0.561,0.275
67,So,Scottie Lewis,53.5,4.0,9.8,10.4,4.4,3.5,43.0,0.512,0.318
68,So,Scotty Pippen Jr.,70.1,3.6,6.9,36.8,0.6,3.2,52.5,0.47,0.358
69,Jr,Sean McNeil,72.6,1.0,7.4,5.5,0.0,1.0,18.6,0.442,0.388
70,Sr,Tahj Eaddy,79.5,1.5,8.4,16.5,0.0,1.1,20.9,0.497,0.388
71,Sr,Taz Sherman,58.0,3.0,5.4,12.2,0.3,2.0,35.4,0.459,0.359
72,Sr,Terry Taylor,92.6,16.4,21.0,10.3,2.9,1.9,30.6,0.569,0.275
73,So,Tre Mann,76.2,2.6,17.1,22.3,0.6,2.4,30.7,0.494,0.402
74,So,Trendon Watford,83.1,5.3,16.8,15.6,2.0,1.8,42.9,0.512,0.316
75,Sr,Trent Frazier,83.2,0.6,8.2,12.8,0.4,2.1,31.4,0.462,0.362
76,Jr,Trevion Williams,62.2,17.5,25.0,24.9,3.0,1.6,29.1,0.529,0.0
77,Jr,Trey Murphy III,73.5,2.8,11.7,8.2,1.8,1.8,21.5,0.62,0.433
78,Fr,Ziaire Williams,50.7,2.4,16.4,16.4,2.2,1.7,24.1,0.427,0.291
