,pick,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
993,14,So,Patrick Patterson,79.2,10.6,20.4,13.2,6.4,1.0,42.2,0.605,0.0
994,14,Jr,Patrick Patterson,81.8,10.6,13.4,5.5,4.1,1.2,34.8,0.626,0.348
995,4,Fr,Patrick Williams,52.1,6.8,13.9,8.4,5.6,2.6,35.6,0.5,0.32
996,55,Fr,Patty Mills,76.6,1.7,5.9,22.7,0.2,3.2,29.5,0.547,0.313
997,55,So,Patty Mills,61.7,1.6,6.0,25.9,0.6,3.9,25.7,0.455,0.332
998,10,Fr,Paul George,85.2,6.3,14.1,12.2,2.9,3.0,37.4,0.485,0.442
999,10,So,Paul George,72.6,6.8,18.6,22.6,3.0,3.9,34.8,0.489,0.35600000000000004
1000,58,So,Paul Reed,67.0,11.8,24.5,6.8,6.8,2.3,31.9,0.583,0.405
1001,58,Jr,Paul Reed,72.0,11.2,25.7,11.1,9.4,3.3,22.3,0.5539999999999999,0.294
1002,26,Fr,Payton Pritchard,71.1,2.6,10.7,20.5,0.3,2.4,26.5,0.465,0.353
1003,26,So,Payton Pritchard,86.6,1.7,11.4,25.3,0.0,2.3,26.6,0.484,0.413
1004,26,Jr,Payton Pritchard,88.3,3.0,9.8,25.8,0.3,3.1,27.8,0.505,0.32799999999999996
1005,26,Sr,Payton Pritchard,88.8,2.3,11.6,31.6,0.1,2.5,30.3,0.512,0.415
1006,28,Fr,Perry Jones III,81.5,9.6,15.9,7.5,3.0,0.9,43.9,0.556,0.2
1007,28,So,Perry Jones III,66.6,10.8,18.6,8.8,2.1,1.7,28.3,0.515,0.303
1008,56,So,Peyton Siva,68.4,1.4,11.0,34.0,0.7,4.2,53.9,0.5429999999999999,0.272
1009,56,Jr,Peyton Siva,74.3,1.8,9.1,35.5,0.4,3.2,39.5,0.44799999999999995,0.24600000000000002
1010,56,Sr,Peyton Siva,76.7,1.1,7.6,34.3,0.6,4.3,28.5,0.47600000000000003,0.28800000000000003
1011,42,Jr,Pierre Jackson,77.5,3.4,7.3,37.9,0.3,3.5,34.6,0.502,0.405
1012,42,Sr,Pierre Jackson,86.3,2.2,9.6,41.5,0.0,2.5,47.4,0.49,0.359
1013,20,Fr,Precious Achiuwa,75.3,11.4,24.7,7.5,6.4,2.0,50.7,0.514,0.325
1014,37,So,Quincy Acy,58.3,9.5,14.4,2.4,3.4,1.2,45.7,0.691,0.0
1015,37,Jr,Quincy Acy,77.6,11.3,18.2,6.0,5.5,1.8,62.2,0.5379999999999999,0.0
1016,37,Sr,Quincy Acy,74.6,10.7,18.6,6.5,6.5,1.8,64.9,0.564,0.6
1017,38,Fr,Quincy Miller,59.3,7.6,16.0,11.3,2.7,1.6,36.7,0.475,0.358
1018,26,So,Quincy Pondexter,60.6,9.5,13.2,14.5,0.7,1.1,42.5,0.493,0.28800000000000003
1019,26,Jr,Quincy Pondexter,70.1,10.9,12.3,11.0,1.2,1.3,38.0,0.518,0.231
1020,26,Sr,Quincy Pondexter,80.4,10.3,15.0,11.2,1.8,2.2,48.7,0.55,0.353
1021,49,Fr,Quinndary Weatherspoon,67.1,6.4,12.9,9.8,2.0,2.9,25.9,0.479,0.39399999999999996
1022,49,So,Quinndary Weatherspoon,72.1,4.9,12.7,12.7,0.9,3.0,30.1,0.519,0.373
1023,49,Jr,Quinndary Weatherspoon,78.3,5.9,16.1,21.0,1.2,2.6,40.3,0.5760000000000001,0.292
1024,49,Sr,Quinndary Weatherspoon,84.5,4.7,11.6,16.6,1.1,2.9,43.7,0.564,0.396
1025,3,Fr,R.J. Barrett,87.9,4.8,17.2,23.5,1.2,1.4,31.9,0.529,0.308
1026,28,Fr,R.J. Hunter,82.8,3.5,15.2,12.7,3.2,3.2,33.6,0.508,0.359
1027,28,So,R.J. Hunter,80.4,1.1,14.4,10.4,3.6,3.6,38.6,0.503,0.397
1028,28,Jr,R.J. Hunter,92.1,2.8,12.4,19.7,3.6,3.6,44.5,0.49,0.298
1029,36,So,Rakeem Christmas,51.7,9.7,14.4,2.1,11.0,1.5,32.9,0.53,0.0
1030,36,Jr,Rakeem Christmas,58.6,10.3,15.7,5.7,11.3,1.3,50.0,0.613,0.0
1031,36,Sr,Rakeem Christmas,85.1,10.1,19.3,10.5,8.4,1.6,52.0,0.555,0.0
1032,17,Fr,Rashad Vaughn,57.3,2.3,13.9,12.2,1.1,1.5,29.9,0.48100000000000004,0.38299999999999995
1033,36,Fr,Ray McCallum,82.1,4.9,10.6,29.4,0.5,2.7,64.9,0.48,0.321
1034,36,So,Ray McCallum,84.9,3.7,12.8,25.6,0.7,2.6,44.8,0.54,0.252
1035,36,Jr,Ray McCallum,93.2,4.0,13.3,23.5,1.7,3.0,46.7,0.545,0.317
1036,56,So,Ray Spalding,47.7,11.0,20.8,7.2,5.0,2.0,57.5,0.603,0.0
1037,56,Jr,Ray Spalding,68.2,13.3,20.9,9.6,6.3,3.1,33.8,0.56,0.263
1038,56,Fr,Raymond Spalding,42.3,11.0,17.4,5.4,4.5,3.2,44.8,0.5660000000000001,0.33299999999999996
1039,25,So,Reggie Bullock,63.3,6.8,13.3,8.8,0.8,1.4,7.6,0.51,0.382
1040,25,Jr,Reggie Bullock,76.5,6.6,15.8,16.2,0.9,2.2,21.0,0.537,0.429
1041,24,Fr,Reggie Jackson,49.9,6.9,11.4,16.8,2.0,2.4,26.1,0.518,0.273
1042,24,So,Reggie Jackson,75.3,7.5,14.7,30.5,1.5,1.2,31.2,0.498,0.29100000000000004
1043,24,Jr,Reggie Jackson,85.4,3.9,11.3,29.7,1.7,1.9,31.5,0.556,0.42
1044,57,Fr,Reggie Perry,59.3,13.3,22.6,4.8,3.3,1.4,49.4,0.546,0.282
1045,57,So,Reggie Perry,77.7,12.4,25.1,16.1,4.1,1.6,53.0,0.542,0.324
1046,49,Jr,Richard Hendrix,73.1,13.1,23.5,11.5,7.2,2.4,52.5,0.604,0.28600000000000003
1047,37,So,Richaun Holmes,45.9,14.8,17.1,2.9,13.2,1.6,37.6,0.634,0.0
1048,37,Jr,Richaun Holmes,79.9,9.7,17.4,6.5,9.2,2.0,55.2,0.532,0.3
1049,37,Sr,Richaun Holmes,67.1,11.5,21.0,7.2,11.3,1.5,50.7,0.586,0.419
1050,58,Jr,Robbie Hummel,58.1,6.3,20.5,15.2,3.6,2.1,41.2,0.517,0.364
1051,58,Sr,Robbie Hummel,80.6,5.5,21.7,12.6,4.2,1.3,29.5,0.44,0.38299999999999995
1052,58,Fr,Robbie John Hummel,68.7,10.5,15.9,19.3,2.8,2.7,45.1,0.507,0.447
1053,58,So,Robbie John Hummel,63.1,6.8,20.2,14.0,2.2,2.4,30.5,0.49700000000000005,0.381
1054,60,Jr,Robert Dozier,59.8,10.9,17.1,7.0,7.0,2.4,41.2,0.45799999999999996,0.303
1055,60,Sr,Robert Dozier,75.3,10.7,16.5,9.3,5.6,2.5,53.8,0.5489999999999999,0.375
1056,60,So,Robert Sacre,63.0,9.1,14.8,4.6,7.8,1.6,75.6,0.518,1.0
1057,60,Jr,Robert Sacre,64.8,12.0,16.8,8.5,8.0,1.7,68.7,0.493,0.0
1058,60,Sr,Robert Sacre,65.4,9.9,18.1,5.7,5.8,0.8,86.0,0.515,0.0
1059,54,Jr,Robert Vaden,84.8,1.4,9.5,16.6,0.6,1.6,24.3,0.424,0.4
1060,54,Sr,Robert Vaden,90.2,2.3,13.5,11.9,1.8,1.7,19.2,0.48,0.34600000000000003
1061,27,Fr,Robert Williams,64.6,13.6,21.1,12.0,10.6,1.6,36.4,0.588,0.111
1062,27,So,Robert Williams,54.9,10.2,26.8,10.8,10.0,1.8,31.8,0.6679999999999999,0.0
1063,40,Fr,Robert Woodard,43.6,9.5,18.1,7.5,3.2,1.8,32.1,0.545,0.273
1064,40,So,Robert Woodard II,82.5,8.2,14.9,7.6,3.4,2.0,28.4,0.517,0.429
1065,15,So,Robin Lopez,60.5,12.6,14.0,5.4,9.5,1.3,50.4,0.5329999999999999,1.0
1066,23,Fr,Rodney Hood,77.8,3.5,13.3,11.9,1.3,0.8,14.3,0.506,0.364
1067,23,So,Rodney Hood,81.9,2.9,11.7,13.2,0.8,1.3,32.8,0.494,0.42
1068,14,Fr,Romeo Langford,76.8,4.8,12.8,14.2,2.7,1.3,49.1,0.53,0.272
1069,51,Jr,Romero Osby,75.2,9.6,18.2,6.2,3.9,1.1,45.7,0.496,0.389
1070,51,Sr,Romero Osby,70.7,8.2,19.5,10.2,3.2,1.3,58.6,0.525,0.529
1071,23,Fr,Rondae Hollis-Jefferson,62.3,10.4,15.7,11.0,4.3,1.8,61.1,0.502,0.2
1072,23,So,Rondae Hollis-Jefferson,71.5,9.0,20.1,10.1,3.4,2.4,74.5,0.537,0.207
1073,56,Fr,Roy Devyn Marble,47.4,3.7,11.0,13.8,0.4,2.1,37.9,0.414,0.268
1074,56,So,Roy Devyn Marble,73.6,4.4,10.8,24.0,1.5,3.0,44.2,0.445,0.39299999999999996
1075,56,Jr,Roy Devyn Marble,73.1,3.5,10.8,23.2,0.8,2.3,40.9,0.455,0.319
1076,56,Sr,Roy Devyn Marble,74.4,2.9,8.6,23.6,0.8,3.4,45.6,0.456,0.349
1077,17,Sr,Roy Hibbert,65.3,11.3,17.0,16.6,9.7,1.3,49.0,0.605,1.0
1078,16,So,Royce White,78.8,9.4,24.6,34.5,3.0,2.2,62.5,0.541,0.33299999999999996
1079,9,So,Rui Hachimura,51.1,7.4,18.0,5.5,2.7,1.4,47.1,0.606,0.192
1080,9,Jr,Rui Hachimura,75.5,5.8,17.0,9.3,2.4,1.8,47.7,0.606,0.41700000000000004
1081,47,So,Russ Smith,51.7,3.6,9.1,21.8,0.1,6.2,34.4,0.379,0.306
1082,47,Jr,Russ Smith,74.5,4.0,8.7,21.1,0.2,4.1,49.3,0.45799999999999996,0.32799999999999996
1083,47,Sr,Russ Smith,73.2,2.9,9.6,31.6,0.4,4.0,45.1,0.517,0.387
1084,4,So,Russell Westbrook,84.6,5.9,8.4,24.0,0.6,2.9,38.6,0.49700000000000005,0.32
1085,21,So,Ryan Anderson,81.0,11.5,23.8,9.7,1.9,0.6,42.4,0.53,0.41
1086,48,So,Ryan Kelly,50.2,6.6,13.4,7.3,6.1,1.9,22.3,0.635,0.319
1087,48,Jr,Ryan Kelly,58.6,8.2,15.3,8.6,3.5,1.7,58.1,0.469,0.408
1088,48,Sr,Ryan Kelly,46.1,6.9,14.3,11.0,5.4,1.4,40.1,0.473,0.42200000000000004
1089,57,So,Ryan Reid,43.3,11.8,13.2,5.1,3.0,1.8,58.3,0.526,1.0
1090,57,Jr,Ryan Reid,47.4,9.5,12.4,7.9,3.8,2.0,53.9,0.44,0.0
1091,57,Sr,Ryan Reid,54.8,9.9,10.0,10.1,2.6,1.5,46.1,0.491,0.0
1092,38,Fr,Saben Lee,66.4,3.1,10.4,24.8,0.6,2.7,47.0,0.529,0.307
1093,38,So,Saben Lee,81.1,1.5,10.0,25.9,0.5,1.8,71.3,0.493,0.36200000000000004
1094,38,Jr,Saben Lee,81.4,2.0,11.0,32.0,0.9,2.7,49.8,0.5489999999999999,0.322
1095,19,Fr,Saddiq Bey,73.0,8.3,12.2,8.6,1.4,1.8,18.9,0.561,0.374
1096,19,So,Saddiq Bey,84.4,4.5,11.3,14.9,1.1,1.4,24.8,0.5,0.451
1097,18,Fr,Sam Dekker,54.9,6.3,11.4,14.1,1.8,1.9,28.7,0.5710000000000001,0.391
1098,18,So,Sam Dekker,74.4,7.3,17.5,10.0,1.9,1.6,38.3,0.55,0.326
1099,18,Jr,Sam Dekker,77.0,8.4,14.8,8.6,1.5,1.1,27.8,0.639,0.331
1100,60,Fr,Sam Merrill,66.5,1.8,11.2,23.7,0.7,2.1,18.5,0.45,0.451
1101,60,So,Sam Merrill,88.5,0.7,10.4,19.3,0.7,1.7,22.1,0.5539999999999999,0.45899999999999996
1102,60,Jr,Sam Merrill,88.4,1.1,10.9,23.6,0.8,1.6,42.0,0.529,0.369
1103,60,Sr,Sam Merrill,86.3,0.6,12.0,24.0,0.4,1.5,39.7,0.515,0.41
1104,36,Jr,Sam Young,80.4,7.7,14.1,8.4,3.9,2.1,33.9,0.5329999999999999,0.38299999999999995
1105,36,Sr,Sam Young,77.4,6.9,15.4,6.6,2.7,1.9,31.2,0.551,0.37
1106,56,Sr,Sasha Kaun,44.2,11.0,13.4,3.0,8.2,1.4,67.4,0.61,0.0
1107,42,Sr,Sean Singletary,84.0,2.5,10.1,37.7,0.1,3.0,46.6,0.456,0.36700000000000005
1108,55,Fr,Semaj Christon,82.2,0.6,9.2,32.2,0.4,2.8,51.0,0.46,0.25
1109,55,So,Semaj Christon,87.6,1.5,7.4,25.3,0.8,2.3,56.0,0.491,0.38799999999999996
1110,37,Jr,Semi Ojeleye,85.4,8.4,15.0,9.3,1.6,0.8,50.8,0.529,0.424
1111,14,Fr,Shabazz Muhammad,69.5,9.9,8.5,5.8,0.4,1.3,39.5,0.46299999999999997,0.377
1112,24,Fr,Shabazz Napier,58.4,3.0,7.8,24.1,0.5,4.2,35.6,0.419,0.326
1113,24,So,Shabazz Napier,86.6,2.3,8.5,32.6,0.8,2.9,42.3,0.418,0.355
1114,24,Jr,Shabazz Napier,83.8,1.7,11.6,27.9,0.3,3.3,43.5,0.48700000000000004,0.39799999999999996
1115,24,Sr,Shabazz Napier,87.2,3.4,15.0,30.8,1.0,3.2,48.0,0.44799999999999995,0.405
1116,11,Fr,Shai Gilgeous-Alexander,84.0,3.2,10.0,28.8,1.7,2.8,46.2,0.5,0.40399999999999997
1117,54,Fr,Shake Milton,81.7,1.1,8.9,14.0,1.0,1.5,21.5,0.53,0.426
1118,54,So,Shake Milton,88.4,1.5,11.7,24.2,1.2,2.2,26.1,0.455,0.423
1119,54,Jr,Shake Milton,60.6,2.1,13.5,25.9,2.3,2.4,40.5,0.462,0.434
1120,51,Sr,Shan Foster,82.2,4.1,12.3,10.7,0.7,1.8,20.7,0.61,0.469
1121,18,Fr,Shane Larkin,60.7,2.6,8.8,19.2,0.3,3.7,34.5,0.39399999999999996,0.32299999999999995
1122,18,So,Shane Larkin,90.7,1.6,10.4,26.1,0.3,3.4,29.3,0.5379999999999999,0.406
1123,34,Fr,Shelvin Mack,77.8,5.3,12.1,26.3,0.1,2.3,35.0,0.46299999999999997,0.319
1124,34,So,Shelvin Mack,76.9,2.2,13.0,25.1,0.5,2.8,25.8,0.502,0.391
1125,34,Jr,Shelvin Mack,79.4,2.7,14.3,25.1,0.3,1.4,32.6,0.451,0.35100000000000003
1126,48,Fr,Sindarius Thornwell,74.0,5.5,11.1,23.9,2.5,2.4,48.1,0.39299999999999996,0.37
1127,48,So,Sindarius Thornwell,77.4,5.7,13.0,16.6,1.2,2.6,42.9,0.39399999999999996,0.27
1128,48,Jr,Sindarius Thornwell,82.9,3.8,12.0,22.2,1.7,2.4,42.7,0.408,0.336
1129,48,Sr,Sindarius Thornwell,71.9,8.0,16.2,19.4,3.4,3.6,59.0,0.47100000000000003,0.392
1130,53,Fr,Sir'Dominic Pointer,74.6,4.7,12.5,10.2,3.3,3.2,31.3,0.45,0.18899999999999997
1131,53,So,Sir'Dominic Pointer,64.4,4.6,17.1,20.2,3.4,3.2,50.3,0.546,0.33299999999999996
1132,53,Jr,Sir'Dominic Pointer,51.9,2.9,13.6,15.9,5.4,3.4,51.0,0.48100000000000004,0.15
1133,53,Sr,Sir'Dominic Pointer,86.5,6.2,17.5,18.3,7.6,3.2,42.6,0.565,0.08
1134,50,Fr,Skylar Mays,57.3,2.6,8.3,27.9,0.3,3.1,42.3,0.457,0.33299999999999996
1135,50,So,Skylar Mays,77.4,2.0,13.0,16.6,0.9,2.9,32.6,0.527,0.35100000000000003
1136,50,Jr,Skylar Mays,80.7,1.4,9.7,11.0,0.8,3.2,44.1,0.537,0.313
1137,50,Sr,Skylar Mays,85.4,1.6,13.7,17.0,0.7,2.9,43.9,0.5479999999999999,0.39399999999999996
1138,50,So,Solomon Alabi,55.2,11.8,16.7,3.6,10.5,1.4,33.2,0.542,0.0
1139,50,So,Solomon Alabi,63.8,11.6,15.7,4.4,10.4,1.4,54.6,0.534,0.0
1140,23,Fr,Solomon Hill,61.8,7.6,12.8,13.5,0.5,1.4,51.7,0.526,0.222
1141,23,So,Solomon Hill,62.1,8.7,14.3,13.2,0.7,2.0,46.7,0.524,0.354
1142,23,Jr,Solomon Hill,80.4,8.3,19.1,18.6,1.6,1.9,51.7,0.551,0.389
1143,23,Sr,Solomon Hill,82.1,6.6,12.8,16.8,1.8,2.1,35.9,0.508,0.39
1144,39,Sr,Sonny Weems,76.0,6.2,10.4,17.3,0.8,2.4,17.9,0.513,0.37
1145,38,Fr,Spencer Dinwiddie,69.1,2.9,11.5,12.5,1.1,1.7,59.1,0.377,0.447
1146,38,So,Spencer Dinwiddie,80.1,1.0,9.8,20.2,1.6,2.5,76.7,0.47700000000000004,0.33799999999999997
1147,8,Fr,Stanley Johnson,70.9,8.9,19.1,11.6,1.6,3.2,45.6,0.478,0.371
1148,59,So,Stanley Robinson,68.8,9.2,14.5,8.5,4.1,1.1,22.1,0.486,0.418
1149,59,Jr,Stanley Robinson,44.9,9.2,14.9,8.8,4.1,1.5,30.6,0.564,0.13
1150,59,Sr,Stanley Robinson,85.6,8.9,14.6,6.6,3.2,1.5,25.1,0.5710000000000001,0.342
1151,7,So,Stephen Curry,83.6,2.6,13.4,18.8,1.2,3.6,23.2,0.536,0.435
1152,7,Jr,Stephen Curry,82.1,1.8,12.3,39.8,0.7,3.9,36.1,0.518,0.38799999999999996
1153,41,Fr,Stephen Zimmerman Jr.,51.8,9.0,26.1,6.5,7.2,1.0,48.3,0.48100000000000004,0.25
1154,46,Fr,Sterling Brown,48.6,8.1,14.4,10.1,1.9,2.3,32.8,0.531,0.36200000000000004
1155,46,So,Sterling Brown,60.5,8.4,14.4,15.7,1.4,2.2,28.9,0.579,0.444
1156,46,Jr,Sterling Brown,68.8,5.9,12.3,16.4,1.9,2.4,34.8,0.632,0.536
1157,46,Sr,Sterling Brown,81.6,6.0,16.9,17.9,2.2,2.7,31.3,0.465,0.449
1158,12,Fr,Steven Adams,56.1,15.3,19.1,5.4,11.2,1.9,40.0,0.5710000000000001,0.0
1159,47,Jr,Sviatoslav Mykhailiuk,67.6,3.4,8.6,7.7,0.9,1.8,16.8,0.519,0.39799999999999996
1160,47,Sr,Sviatoslav Mykhailiuk,86.1,3.9,8.7,13.4,0.9,1.9,11.9,0.423,0.444
1161,14,Fr,T.J. Warren,67.2,9.6,8.1,5.9,1.5,2.6,24.1,0.632,0.519
1162,14,So,T.J. Warren,84.8,10.8,12.8,8.6,1.8,3.1,34.7,0.58,0.267
1163,18,Fr,TJ Leaf,72.8,9.1,19.7,13.2,3.5,1.1,27.8,0.644,0.466
1164,26,So,Taj Gibson,79.3,10.3,18.3,8.4,8.4,1.3,55.9,0.58,0.0
1165,26,Jr,Taj Gibson,83.6,13.4,19.0,8.2,9.5,1.8,57.6,0.601,0.0
1166,46,Fr,Talen Horton-Tucker,67.9,2.9,16.7,16.2,2.7,2.8,23.0,0.475,0.308
1167,12,Jr,Taurean Prince,63.5,8.1,16.3,11.6,3.9,3.5,28.6,0.526,0.401
1168,12,Sr,Taurean Prince,76.2,8.9,14.7,15.4,2.7,2.3,33.6,0.46799999999999997,0.361
1169,48,Jr,Taylor Griffin,54.1,8.8,17.5,8.0,3.7,2.3,54.9,0.45,0.273
1170,48,Sr,Taylor Griffin,74.8,9.3,12.0,7.9,3.4,2.5,55.8,0.5479999999999999,0.35700000000000004
1171,2,Fr,Temetrius Morant,86.3,6.6,15.8,32.9,1.3,1.7,48.2,0.526,0.293
1172,48,Fr,Terance Mann,42.3,8.8,16.0,9.2,1.3,2.0,47.2,0.616,0.308
1173,48,So,Terance Mann,62.6,8.6,11.5,10.9,0.7,2.2,44.9,0.611,0.304
1174,48,Jr,Terance Mann,69.9,7.5,13.0,16.6,1.0,1.7,37.5,0.635,0.25
1175,48,Sr,Terance Mann,78.3,9.1,14.3,15.6,1.2,1.2,42.6,0.547,0.39
1176,18,Fr,Terrence Jones,78.4,9.0,22.1,10.3,6.0,2.2,52.1,0.465,0.32899999999999996
1177,18,So,Terrence Jones,69.6,10.8,16.3,8.7,5.8,2.7,44.6,0.528,0.327
1178,8,Fr,Terrence Ross,42.1,5.3,12.3,9.6,2.0,1.8,14.3,0.552,0.35200000000000004
1179,8,So,Terrence Ross,77.2,4.7,17.6,9.2,3.0,2.3,20.0,0.518,0.371
1180,11,Jr,Terrence Williams,89.6,4.7,17.4,23.4,2.3,2.2,29.6,0.46,0.34
1181,11,Sr,Terrence Williams,85.3,4.5,22.7,27.0,2.3,4.0,29.8,0.45899999999999996,0.385
1182,36,Fr,Terrico White,74.6,3.0,9.3,16.6,0.9,1.6,21.3,0.495,0.354
